Pool,Pool Notes,Application,Window,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,,"1,493,487,162.21","1,493,487,164.19"
,,Google Chrome,This awesome Mac app will track your time – Automatically!,"1,493,487,163.20","1,493,487,164.19"
,,Google Chrome,,"1,493,487,167.16","1,493,487,184.96"
,,Google Chrome,This awesome Mac app will track your time – Automatically!,"1,493,487,167.16","1,493,487,184.96"
,,Finder,,"1,493,487,198.85","1,493,487,206.76"
,,Finder,Desktop,"1,493,487,201.82","1,493,487,206.76"
,,TextEdit,,"1,493,487,207.75","1,493,487,218.64"
,,TextEdit,Time Sink — 2017-04-29.csv,"1,493,487,207.75","1,493,487,216.66"
,,TextEdit,proposal.txt,"1,493,487,217.65","1,493,487,218.64"
,,Google Chrome,,"1,493,487,219.63","1,493,487,235.46"
,,Google Chrome,This awesome Mac app will track your time – Automatically!,"1,493,487,219.63","1,493,487,235.46"
,,TextEdit,,"1,493,487,236.45","1,493,487,273.83"
,,TextEdit,Save,"1,493,487,238.42","1,493,487,247.77"
,,TextEdit,tools.rtf,"1,493,487,248.76","1,493,487,273.83"
,,Google Chrome,,"1,493,487,274.82","1,493,487,279.77"
,,Google Chrome,This awesome Mac app will track your time – Automatically!,"1,493,487,274.82","1,493,487,279.77"
,,Finder,,"1,493,487,281.00","1,493,487,285.95"
,,Finder,Timing,"1,493,487,281.00","1,493,487,283.97"
,,Finder,Desktop,"1,493,487,284.96","1,493,487,285.95"
,,TextEdit,,"1,493,487,287.49","1,493,487,300.17"
,,TextEdit,tools.rtf,"1,493,487,287.49","1,493,487,300.17"
,,Timing,,"1,493,487,301.16","1,493,487,331.19"
,,Timing,Timing trial (9 days remaining),"1,493,487,301.16","1,493,487,331.19"
,,System Preferences,,"1,493,487,332.18","1,493,487,344.14"
,,System Preferences,Security & Privacy,"1,493,487,333.18","1,493,487,344.14"
,,Timing,,"1,493,487,345.15","1,493,487,366.62"
,,Timing,Timing trial (9 days remaining),"1,493,487,345.15","1,493,487,366.62"
,,Timing,,"1,493,489,366.24","1,493,489,368.22"
,,Timing,Timing trial (9 days remaining),"1,493,489,366.24","1,493,489,368.22"
,,Script Editor,,"1,493,489,441.78","1,493,489,443.76"
,,Script Editor,Untitled 2,"1,493,489,441.78","1,493,489,443.76"
,,TextEdit,,"1,493,489,620.07","1,493,489,623.03"
,,TextEdit,Untitled 11,"1,493,489,620.07","1,493,489,623.03"
Paper,,,,"1,493,489,620.07","1,493,489,919.46"
Paper,,TextEdit,,"1,493,489,620.07","1,493,489,623.03"
TextEdit,,,,"1,493,489,620.07","1,493,489,623.03"
TextEdit,,TextEdit,,"1,493,489,620.07","1,493,489,623.03"
,,Google Chrome,,"1,493,489,624.02","1,493,489,636.89"
Paper,,Google Chrome,,"1,493,489,624.02","1,493,489,636.89"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,489,625.01","1,493,489,636.89"
,,Terminal,,"1,493,489,637.89","1,493,489,654.71"
,,Terminal,mp — bash — 80×24,"1,493,489,637.89","1,493,489,640.86"
Terminal,,,,"1,493,489,637.89","1,493,489,654.71"
Terminal,,Terminal,,"1,493,489,637.89","1,493,489,654.71"
Paper,,Terminal,,"1,493,489,637.89","1,493,489,654.71"
